D01T03,D05T06,D07T08,D09,D10T12,D13T15,D16,D17T18,D19,D20T21,D22,D23,D24,D25,D26,D27,D28,D29,D30,D31T33,D35T39,D41T43,D45T47,D49T53,D55T56,D58T60,D61,D62T63,D64T66,D68,D69T82,D84,D85,D86T88,D90T96,D97T98
1.1796,0.0122,0.0178,0.0077,0.7002,0.1606,0.4597,0.1816,0.0188,0.0821,0.0917,0.0253,0.0204,0.0191,0.023,0.0218,0.0208,0.0288,0.0206,0.09,0.0172,0.0387,0.034,0.0165,0.3304,0.0436,0.0182,0.0149,0.0145,0.006,0.0496,0.0333,0.0141,0.0416,0.0456,0
0.021,1.1283,0.1182,0.0543,0.0327,0.0618,0.0351,0.0696,0.635,0.115,0.0925,0.119,0.2203,0.1157,0.0714,0.1127,0.1094,0.0982,0.082,0.1003,0.2995,0.0853,0.028,0.1386,0.0472,0.0452,0.0431,0.0218,0.0236,0.0146,0.0454,0.0395,0.0328,0.0434,0.0458,0
9.00E-04,0.0071,1.0646,0.0086,0.0021,0.0038,0.0038,0.0102,0.0061,0.0067,0.0099,0.1082,0.2072,0.0953,0.0391,0.0857,0.0782,0.0584,0.048,0.0609,0.008,0.0623,0.0028,0.0035,0.0033,0.0049,0.0084,0.0031,0.0021,0.0029,0.004,0.0041,0.0029,0.004,0.0051,0
0.0062,0.1062,0.0628,1.0655,0.0065,0.0074,0.0059,0.0106,0.0623,0.0131,0.0132,0.0192,0.0321,0.0165,0.0095,0.0157,0.0162,0.0132,0.0109,0.0146,0.0372,0.0208,0.0032,0.0144,0.0065,0.0055,0.0053,0.0026,0.0028,0.0021,0.0053,0.0059,0.0047,0.0051,0.0054,0
0.019,0.0046,0.0068,0.0025,1.0653,0.0134,0.011,0.0123,0.0079,0.0274,0.0233,0.0087,0.0083,0.0074,0.0081,0.0082,0.0077,0.0092,0.0078,0.0109,0.0062,0.0075,0.0084,0.0062,0.2136,0.0106,0.0064,0.0059,0.006,0.0024,0.0164,0.0133,0.0057,0.02,0.0234,0
0.0041,0.0083,0.0119,0.0042,0.0062,1.3554,0.0124,0.0248,0.0136,0.0399,0.06,0.0163,0.0126,0.0122,0.0154,0.0158,0.0141,0.0356,0.0184,0.0844,0.0075,0.0152,0.0087,0.0078,0.0142,0.0165,0.0077,0.0047,0.0062,0.002,0.015,0.0103,0.0048,0.0203,0.0204,0
6.00E-04,0.0031,0.0041,8.00E-04,0.0011,0.0025,1.055,0.0096,0.0024,0.0023,0.0035,0.0047,0.0025,0.0033,0.0036,0.003,0.0034,0.0052,0.0029,0.053,0.0018,0.0196,0.0013,0.0012,0.002,0.0031,0.0019,9.00E-04,9.00E-04,9.00E-04,0.0022,0.0013,0.0013,0.0019,0.0033,0
0.0028,0.0061,0.0111,0.0027,0.0152,0.0189,0.0125,1.3031,0.0086,0.0223,0.029,0.0247,0.0108,0.0123,0.0193,0.0167,0.0157,0.0187,0.012,0.0291,0.0095,0.0129,0.012,0.0095,0.0196,0.1647,0.0198,0.0182,0.0203,0.0045,0.0219,0.0154,0.0225,0.0132,0.0209,0
0.0356,0.0787,0.1653,0.0424,0.0516,0.0915,0.0522,0.0863,1.2367,0.1827,0.1409,0.1436,0.1548,0.1006,0.0771,0.1022,0.0981,0.0982,0.0868,0.1083,0.1348,0.1105,0.0421,0.255,0.0593,0.0616,0.0541,0.0303,0.0332,0.0166,0.0698,0.0552,0.0376,0.0581,0.0583,0
0.0425,0.0542,0.081,0.0216,0.0464,0.2161,0.0667,0.1523,0.1304,1.4811,0.4916,0.1247,0.1024,0.089,0.1056,0.1147,0.0909,0.1254,0.0842,0.1475,0.041,0.0855,0.0234,0.0428,0.0471,0.057,0.0338,0.0176,0.0153,0.0079,0.0454,0.0403,0.0154,0.2451,0.068,0
0.0024,0.0093,0.0144,0.0038,0.0084,0.0171,0.0074,0.0178,0.01,0.0191,1.0781,0.0162,0.013,0.015,0.0289,0.027,0.025,0.0499,0.0255,0.0324,0.0063,0.0253,0.0061,0.012,0.0084,0.0095,0.0105,0.0044,0.0025,0.002,0.0086,0.0052,0.0039,0.0083,0.0076,0
0.001,0.0032,0.0074,0.0038,0.0031,0.0065,0.0073,0.0056,0.0049,0.0102,0.0136,1.135,0.0132,0.014,0.0237,0.0163,0.0147,0.0208,0.011,0.016,0.0061,0.1229,0.0034,0.0033,0.0062,0.0046,0.0073,0.0024,0.0023,0.0049,0.0047,0.0044,0.003,0.0052,0.0062,0
0.0048,0.0369,0.0345,0.0342,0.0106,0.0198,0.0201,0.0637,0.0319,0.0366,0.057,0.071,1.4824,0.61,0.2516,0.5754,0.5318,0.3895,0.3266,0.3746,0.0414,0.2033,0.013,0.0186,0.0151,0.0276,0.0488,0.0178,0.011,0.011,0.0191,0.0213,0.0152,0.0216,0.024,0
0.0023,0.0151,0.0174,0.0072,0.006,0.0084,0.0104,0.0107,0.0135,0.0106,0.0176,0.0185,0.0444,1.0884,0.037,0.0506,0.083,0.0701,0.0465,0.0466,0.0095,0.0541,0.0045,0.0062,0.0066,0.0075,0.0097,0.005,0.0027,0.0036,0.0078,0.0083,0.0051,0.0058,0.0071,0
0.0012,0.0053,0.0084,0.0032,0.0029,0.0054,0.0034,0.0094,0.0059,0.0062,0.009,0.0079,0.0085,0.0116,1.3704,0.047,0.0316,0.0337,0.022,0.0184,0.0091,0.014,0.0064,0.0071,0.0067,0.0277,0.1067,0.0402,0.0133,0.0028,0.0126,0.0144,0.0099,0.0134,0.0154,0
5.00E-04,0.003,0.0042,0.0015,0.0012,0.0022,0.0017,0.0036,0.0029,0.0029,0.0047,0.0048,0.0097,0.0138,0.0437,1.0394,0.0212,0.0199,0.0135,0.0113,0.0053,0.0118,0.0017,0.0026,0.0021,0.0045,0.0138,0.0049,0.0019,0.001,0.003,0.0029,0.0021,0.0025,0.0035,0
7.00E-04,0.0047,0.0064,0.0026,0.0015,0.0028,0.0023,0.0036,0.004,0.003,0.006,0.0049,0.0085,0.0115,0.0236,0.0119,1.022,0.0181,0.0131,0.009,0.0035,0.009,0.0015,0.0026,0.0018,0.0033,0.0072,0.003,0.0014,8.00E-04,0.0027,0.003,0.0016,0.002,0.0024,0
6.00E-04,0.0016,0.0026,0.0011,0.0012,0.0015,0.001,0.0016,0.0015,0.0016,0.0015,0.0018,0.0027,0.0023,0.0035,0.0025,0.0074,1.1695,0.0089,0.0024,0.0019,0.0025,0.0027,0.0084,0.0015,0.0023,0.0024,0.0013,0.0012,5.00E-04,0.0041,0.0022,9.00E-04,0.0011,0.0018,0
3.00E-04,3.00E-04,4.00E-04,2.00E-04,4.00E-04,4.00E-04,3.00E-04,5.00E-04,4.00E-04,4.00E-04,4.00E-04,5.00E-04,7.00E-04,7.00E-04,8.00E-04,7.00E-04,0.002,9.00E-04,1.1782,6.00E-04,3.00E-04,6.00E-04,5.00E-04,0.0033,4.00E-04,6.00E-04,5.00E-04,3.00E-04,2.00E-04,1.00E-04,0.0015,0.0058,2.00E-04,3.00E-04,6.00E-04,0
7.00E-04,0.0025,0.004,0.0014,0.0017,0.0058,0.0077,0.0066,0.0027,0.0038,0.0053,0.005,0.0063,0.0076,0.0173,0.0088,0.0097,0.0126,0.007,1.0513,0.0037,0.0107,0.0024,0.003,0.0036,0.0071,0.0073,0.0038,0.0039,0.0016,0.0052,0.0052,0.0074,0.0131,0.0068,0
0.0138,0.0757,0.1523,0.0241,0.0278,0.0668,0.034,0.0916,0.0811,0.0797,0.0802,0.1166,0.1431,0.0898,0.0658,0.0846,0.0884,0.0836,0.0643,0.0807,1.2684,0.0599,0.0252,0.0493,0.0659,0.0593,0.0591,0.0263,0.0315,0.0288,0.0415,0.0539,0.0691,0.051,0.0592,0
0.0025,0.0103,0.0381,0.0051,0.004,0.0066,0.0048,0.0086,0.0103,0.008,0.0084,0.0146,0.0162,0.0118,0.0096,0.0111,0.0117,0.0108,0.0083,0.0114,0.0221,1.0892,0.0065,0.0131,0.0097,0.0113,0.0219,0.0062,0.0109,0.0397,0.0112,0.0259,0.015,0.0088,0.0128,0
0.0485,0.0526,0.0854,0.0301,0.1707,0.1783,0.1175,0.1396,0.0908,0.1352,0.1468,0.1254,0.17,0.154,0.1448,0.1538,0.1481,0.1595,0.1349,0.1719,0.079,0.1227,1.1042,0.1008,0.1342,0.1614,0.1149,0.0742,0.0376,0.0169,0.1041,0.0419,0.0331,0.0721,0.072,0
0.026,0.0496,0.0956,0.0287,0.0865,0.0979,0.0641,0.089,0.075,0.0781,0.0862,0.1306,0.1647,0.1195,0.0919,0.1133,0.1134,0.1208,0.0949,0.1176,0.0704,0.1045,0.0591,1.1527,0.0736,0.0812,0.0627,0.0276,0.0362,0.0127,0.062,0.0447,0.0334,0.0399,0.051,0
0.002,0.0069,0.0085,0.005,0.005,0.008,0.0052,0.0099,0.0072,0.0086,0.0093,0.0099,0.0099,0.0094,0.0103,0.009,0.0107,0.0109,0.0122,0.0113,0.0105,0.0115,0.0093,0.0157,1.0171,0.0247,0.014,0.019,0.0215,0.0079,0.0453,0.0169,0.0201,0.0227,0.0256,0
5.00E-04,0.0012,0.0021,5.00E-04,0.0022,0.0027,0.0018,0.0283,0.0018,0.0034,0.005,0.0035,0.002,0.0022,0.004,0.0029,0.0029,0.0038,0.0026,0.0046,0.002,0.0026,0.0026,0.0022,0.0033,1.0668,0.0105,0.0067,0.0046,0.001,0.0051,0.0033,0.0057,0.0024,0.006,0
0.0015,0.0037,0.0074,0.0023,0.0034,0.0062,0.0034,0.0073,0.0051,0.0056,0.0064,0.0069,0.0068,0.0065,0.0089,0.0066,0.0079,0.0078,0.0071,0.008,0.0072,0.0069,0.007,0.0097,0.008,0.0395,1.2325,0.0229,0.0238,0.0047,0.015,0.0135,0.0084,0.0071,0.0133,0
8.00E-04,0.0022,0.0034,0.0012,0.0019,0.0028,0.0017,0.0049,0.0026,0.0028,0.003,0.0033,0.004,0.0032,0.0038,0.0033,0.0035,0.0062,0.0055,0.0036,0.0061,0.0049,0.0051,0.0069,0.0052,0.026,0.0318,1.0644,0.0284,0.0043,0.0099,0.0105,0.0067,0.0049,0.0096,0
0.0141,0.0473,0.066,0.0174,0.0271,0.0488,0.0285,0.0529,0.0531,0.0481,0.0523,0.0573,0.0779,0.0599,0.0612,0.0601,0.0666,0.0681,0.0667,0.0658,0.0607,0.0632,0.0408,0.0599,0.0487,0.0772,0.0776,0.0513,1.2236,0.1102,0.0742,0.0188,0.039,0.0358,0.0608,0
4.00E-04,0.0012,0.0014,5.00E-04,0.0012,0.0021,0.0011,0.0022,0.0015,0.0016,0.0021,0.0019,0.0019,0.002,0.0022,0.0019,0.0021,0.0026,0.0021,0.0026,0.0019,0.0025,0.0038,0.0027,0.006,0.0053,0.0063,0.0036,0.0046,1.0028,0.0042,0.0031,0.004,0.0027,0.0046,0
0.0122,0.0542,0.0514,0.0242,0.0304,0.0404,0.0288,0.0585,0.0561,0.061,0.0564,0.0613,0.0523,0.0514,0.0946,0.0544,0.0602,0.0654,0.0624,0.0644,0.0524,0.0763,0.0471,0.0842,0.069,0.154,0.1274,0.0997,0.0699,0.0305,1.1612,0.05,0.0487,0.0493,0.0733,0
1.00E-04,2.00E-04,3.00E-04,3.00E-04,2.00E-04,2.00E-04,2.00E-04,6.00E-04,2.00E-04,2.00E-04,2.00E-04,3.00E-04,5.00E-04,3.00E-04,3.00E-04,3.00E-04,3.00E-04,8.00E-04,8.00E-04,3.00E-04,4.00E-04,3.00E-04,7.00E-04,3.00E-04,7.00E-04,0.001,0.0022,3.00E-04,3.00E-04,1.00E-04,0.0012,1.004,2.00E-04,0.0011,0.0018,0
2.00E-04,0.0014,0.0019,3.00E-04,4.00E-04,5.00E-04,3.00E-04,9.00E-04,0.001,6.00E-04,6.00E-04,8.00E-04,0.0011,7.00E-04,7.00E-04,7.00E-04,8.00E-04,0.0014,9.00E-04,8.00E-04,0.0013,0.001,9.00E-04,0.0014,7.00E-04,0.0032,0.0029,0.0029,0.0035,6.00E-04,0.0028,4.00E-04,1.0119,0.0017,0.0028,0
0.0012,0.0021,0.0029,8.00E-04,0.0029,0.0031,0.0025,0.005,0.0031,0.0072,0.0056,0.0045,0.0038,0.0041,0.0049,0.0044,0.0047,0.0054,0.0036,0.0061,0.0045,0.0044,0.0039,0.0068,0.0048,0.0108,0.0099,0.008,0.0109,0.0022,0.0097,0.0093,0.0029,1.0472,0.0174,0
0.0021,0.0101,0.0256,0.0038,0.0046,0.0088,0.0051,0.0093,0.0096,0.0072,0.0083,0.011,0.0158,0.0107,0.0122,0.0112,0.0115,0.0123,0.0104,0.0126,0.0098,0.0121,0.0079,0.0121,0.0193,0.0364,0.0209,0.0179,0.0147,0.0038,0.0184,0.0118,0.0131,0.0195,1.0595,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
